session_date,direction,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,stop_price,target_price,risk_per_share,pnl_per_share,r_multiple,exit_reason,or_high,or_low,vwap_at_signal,setup_type
2026-01-30,SHORT,20260130  16:20:00,20260130  16:25:00,20260130  16:25:00,192.69,191.94,193.43,191.94,0.7400000000000091,0.75,1.0135135135135012,TARGET,192.98,190.9,192.2557678549579,REVERSAL
2026-02-04,LONG,20260204  16:10:00,20260204  16:15:00,20260204  16:30:00,178.02,176.62,176.62,178.385,1.4000000000000057,-1.4000000000000057,-1.0,STOP,179.57,177.2,178.20531218267706,REVERSAL
2026-02-09,SHORT,20260209  16:00:00,20260209  16:05:00,20260209  21:55:00,190.87,189.79,193.66,187.435,2.789999999999992,1.0800000000000125,0.387096774193554,SESSION_CLOSE,190.94,183.93,190.33556417586874,REVERSAL
2026-02-13,LONG,20260213  16:05:00,20260213  16:10:00,20260213  16:30:00,183.73,184.885,182.18,184.885,1.549999999999983,1.1550000000000011,0.7451612903225896,TARGET,187.51,182.26,184.18602466256675,REVERSAL
2026-02-19,LONG,20260219  15:45:00,20260219  15:50:00,20260219  15:50:00,186.01,186.595,185.66,186.595,0.3499999999999943,0.585000000000008,1.6714285714286212,TARGET,187.39,185.8,186.44456908319083,REVERSAL
2026-02-20,SHORT,20260220  15:45:00,20260220  15:50:00,20260220  16:00:00,188.05,188.7,188.7,187.19,0.6499999999999773,-0.6499999999999773,-1.0,STOP,188.45,185.93,187.65800466592884,REVERSAL
2026-02-23,LONG,20260223  16:15:00,20260223  16:20:00,20260223  16:30:00,191.4,190.92,190.92,192.64,0.4800000000000182,-0.4800000000000182,-1.0,STOP,193.95,191.33,192.5216162111421,REVERSAL
2026-03-03,SHORT,20260303  17:55:00,20260303  18:00:00,20260303  18:30:00,180.05,179.26,180.65,179.26,0.5999999999999943,0.7900000000000205,1.3166666666667133,TARGET,180.53,177.99,178.88849494842148,REVERSAL
2026-03-04,SHORT,20260304  16:00:00,20260304  16:05:00,20260304  16:25:00,181.18,182.94,182.94,179.42000000000002,1.759999999999991,-1.759999999999991,-1.0,STOP,182.33,180.06,181.61058451286397,REVERSAL
2026-03-05,SHORT,20260305  16:00:00,20260305  16:05:00,20260305  16:25:00,182.11,181.63,182.8,181.63,0.6899999999999977,0.4800000000000182,0.6956521739130721,TARGET,182.46,180.8,181.7644646969008,REVERSAL
2026-03-09,LONG,20260309  14:45:00,20260309  14:50:00,20260309  14:55:00,176.11,176.89,175.56,176.89,0.5500000000000114,0.7799999999999727,1.4181818181817392,TARGET,178.16,175.62,176.6818410293623,REVERSAL
2026-03-10,SHORT,20260310  14:45:00,20260310  14:50:00,20260310  14:55:00,183.54,182.785,183.87,182.785,0.3300000000000125,0.7549999999999955,2.2878787878786873,TARGET,183.56,182.01,182.93882463487537,REVERSAL
2026-03-11,SHORT,20260311  15:05:00,20260311  15:10:00,20260311  15:30:00,186.97,185.95499999999998,187.62,185.95499999999998,0.6500000000000057,1.0150000000000148,1.5615384615384706,TARGET,186.97,184.94,186.26443932321155,REVERSAL
2026-03-12,SHORT,20260312  17:15:00,20260312  17:20:00,20260312  17:25:00,184.4,184.19,184.94,184.19,0.539999999999992,0.21000000000000796,0.3888888888889094,TARGET,184.86,183.52,183.18432524476336,REVERSAL
2026-03-16,SHORT,20260316  18:30:00,20260316  18:35:00,20260316  19:05:00,184.74,185.06,185.06,183.945,0.3199999999999932,-0.3199999999999932,-1.0,STOP,185.05,182.84,184.26579477625788,REVERSAL
2026-03-18,LONG,20260318  20:50:00,20260318  20:55:00,20260318  20:55:00,180.73,180.5,180.5,181.76999999999998,0.22999999999998977,-0.22999999999998977,-1.0,STOP,182.82,180.72,182.10313973144494,REVERSAL
2026-03-19,SHORT,20260319  15:20:00,20260319  15:25:00,20260319  15:30:00,177.89,178.4,178.4,176.905,0.5100000000000193,-0.5100000000000193,-1.0,STOP,178.03,175.78,177.09584655872567,REVERSAL
2026-03-24,LONG,20260324  15:05:00,20260324  15:10:00,20260324  15:10:00,174.84,174.09,174.09,175.15,0.75,-0.75,-1.0,STOP,175.9,174.4,174.9411552562753,REVERSAL
2026-03-26,LONG,20260326  15:10:00,20260326  15:15:00,20260326  15:25:00,175.25,175.0,175.0,175.83999999999997,0.25,-0.25,-1.0,STOP,176.51,175.17,175.6587509256085,REVERSAL
2026-03-30,LONG,20260330  16:05:00,20260330  16:10:00,20260330  17:00:00,167.08,168.11,166.21,168.11,0.8700000000000045,1.0300000000000011,1.1839080459770066,TARGET,169.45,166.77,167.5297334413455,REVERSAL
2026-04-07,SHORT,20260407  21:45:00,20260407  21:50:00,20260407  21:50:00,176.92,177.44,177.44,176.12,0.5200000000000102,-0.5200000000000102,-1.0,STOP,176.99,175.25,175.47202750438993,REVERSAL
2026-04-14,SHORT,20260414  16:35:00,20260414  16:40:00,20260414  17:20:00,193.12,193.48,193.48,192.04000000000002,0.3599999999999852,-0.3599999999999852,-1.0,STOP,193.31,190.77,192.2596038911889,REVERSAL
2026-04-15,LONG,20260415  18:55:00,20260415  19:00:00,20260415  19:05:00,197.06,197.47,196.14,197.47,0.9200000000000159,0.4099999999999966,0.4456521739130321,TARGET,198.68,196.26,198.6892134474255,REVERSAL
2026-04-21,LONG,20260421  17:05:00,20260421  17:10:00,20260421  18:00:00,201.18,200.57,200.57,201.79500000000002,0.6100000000000136,-0.6100000000000136,-1.0,STOP,202.75,200.84,201.69297916491308,REVERSAL
2026-04-22,LONG,20260422  15:50:00,20260422  15:55:00,20260422  15:55:00,200.03,199.56,199.56,200.53,0.46999999999999886,-0.46999999999999886,-1.0,STOP,201.09,199.97,200.2599147350938,REVERSAL
2026-04-23,LONG,20260423  18:05:00,20260423  18:10:00,20260423  18:10:00,201.11,200.97,200.97,202.12,0.14000000000001478,-0.14000000000001478,-1.0,STOP,203.14,201.1,202.36491819635256,REVERSAL
2026-04-27,LONG,20260427  15:50:00,20260427  15:55:00,20260427  16:00:00,209.92,210.475,208.4,210.475,1.5199999999999818,0.5550000000000068,0.3651315789473773,TARGET,211.95,209.0,210.19605665014709,REVERSAL
2026-04-29,LONG,20260429  16:00:00,20260429  16:05:00,20260429  16:35:00,210.44,211.56,209.73,211.56,0.710000000000008,1.1200000000000045,1.5774647887323832,TARGET,212.72,210.4,211.03631270472854,REVERSAL
2026-04-30,LONG,20260430  15:45:00,20260430  15:50:00,20260430  15:50:00,206.36,205.1,205.1,207.9,1.2600000000000193,-1.2600000000000193,-1.0,STOP,210.3,205.5,207.6015145980792,REVERSAL
2026-05-04,LONG,20260504  15:55:00,20260504  16:00:00,20260504  16:25:00,198.65,197.63,197.63,199.815,1.0200000000000102,-1.0200000000000102,-1.0,STOP,201.73,197.9,199.65861077649967,REVERSAL
2026-05-05,SHORT,20260505  15:45:00,20260505  15:50:00,20260505  15:55:00,199.76,199.03500000000003,200.24,199.03500000000003,0.4800000000000182,0.7249999999999659,1.5104166666665384,TARGET,199.96,198.11,199.33243330733373,REVERSAL
2026-05-12,LONG,20260512  17:15:00,20260512  17:20:00,20260512  17:20:00,217.11,216.31,216.31,220.38,0.8000000000000114,-0.8000000000000114,-1.0,STOP,223.75,217.01,220.1774026413519,REVERSAL
2026-05-13,SHORT,20260513  17:15:00,20260513  17:20:00,20260513  18:10:00,226.99,227.57,227.57,225.655,0.5799999999999841,-0.5799999999999841,-1.0,STOP,227.16,224.15,225.1289843710488,REVERSAL
